ID_Laporan,ID_Paket,hari_terima,tanggal_terima,waktu_terima,penerima_paket
21452,20452,Sat,27-Mar-2021,1308,Aisyah Setiawan
21453,20453,Sun,28-Mar-2021,1014,Ali Anisa
21454,20454,Mon,29-Mar-2021,1421,Hasan Eka
21455,20455,Tue,30-Mar-2021,1108,Ilham Firdaus
21456,20456,Wed,31-Mar-2021,1624,Hidayat Surya
21457,20457,Thu,1-Apr-2021,1023,Ratna Dwi
21458,20458,Fri,2-Apr-2021,1429,Firdaus Harta
21459,20459,Sat,3-Apr-2021,1224,Fatimah Ratna
21460,20460,Sun,4-Apr-2021,1606,Annisa Mega
21461,20461,Mon,5-Apr-2021,1203,Mawar Faisal
21462,20462,Tue,6-Apr-2021,1127,Fatimah Anisa
21463,20463,Wed,7-Apr-2021,0927,Muhammad Sri
21464,20464,Thu,8-Apr-2021,1354,Muhammad Ratu
21465,20465,Fri,9-Apr-2021,1309,Intan Indah
21466,20466,Sat,10-Apr-2021,0824,Sulaiman Zakaria
21467,20467,Sun,11-Apr-2021,1350,Anisa Nirmala
21468,20468,Mon,12-Apr-2021,1336,Wahyu Tirto
21469,20469,Tue,13-Apr-2021,1114,Tirto Citra
21470,20470,Wed,14-Apr-2021,1717,Fatimah Hidayat
21471,20471,Thu,15-Apr-2021,1421,Sri Muhammad
21472,20472,Fri,16-Apr-2021,1532,Wahyu Darma
21473,20473,Sat,17-Apr-2021,1426,Aminah Harta
21474,20474,Sun,18-Apr-2021,1042,Surya Intan
21475,20475,Mon,19-Apr-2021,1725,Anisa Muhammad
21476,20476,Tue,20-Apr-2021,1616,Harta Mawar
21477,20477,Wed,21-Apr-2021,1655,Tirto Lestari
21478,20478,Thu,22-Apr-2021,1225,Budi Cahaya
21479,20479,Fri,23-Apr-2021,1357,Fatimah Lestari
21480,20480,Sat,24-Apr-2021,1613,Aditya Ahmad
21481,20481,Sun,25-Apr-2021,1624,Ridwan Hasan
21482,20482,Mon,26-Apr-2021,1419,Ismail Setiawan
21483,20483,Tue,27-Apr-2021,1212,Aisyah Nurul
21484,20484,Wed,28-Apr-2021,1029,Ilham Aisyah
21485,20485,Thu,29-Apr-2021,1639,Setiawan Batari
21486,20486,Fri,30-Apr-2021,1041,Bagus Ilham
21487,20487,Sat,1-May-2021,0742,Anisa Wahyu
21488,20488,Sun,2-May-2021,0830,Mawar Cahaya
21489,20489,Mon,3-May-2021,0953,Melati Dwi
21490,20490,Tue,4-May-2021,1628,Tirto Hidayat
21491,20491,Wed,5-May-2021,1743,Citra Sri
21492,20492,Thu,6-May-2021,0855,Bagus Firdaus
21493,20493,Fri,7-May-2021,1729,Ilham Muhammad
21494,20494,Sat,8-May-2021,1101,Bagus Hasan
21495,20495,Sun,9-May-2021,1527,Intan Ahmad
21496,20496,Mon,10-May-2021,1019,Intan Muhammad
21497,20497,Tue,11-May-2021,1534,Zakaria Ibrahim
21498,20498,Wed,12-May-2021,1234,Budi Aminah
21499,20499,Thu,13-May-2021,1620,Fatimah Ridwan
21500,20500,Fri,14-May-2021,1218,Citra Ridwan
